variant,in_ch,params,mb,fwd_ms_batch2,gflops_per_window,ok
L2_loss_only,1,9218556,35.16600036621094,1592.184066772461,3.478046464,True
L3_c1_only,8,9221692,35.17796325683594,18.650293350219727,3.484468992,True
L4_c1_c5,8,9221692,35.17796325683594,18.95928382873535,3.484468992,True
L5_no_wavelet,8,3522488,13.437225341796875,905.8859348297119,1.026409984,True
L6_no_ssm,8,3099388,11.823226928710938,51.49388313293457,1.137804548,True
L7_singletask,8,4080698,15.566627502441406,24.634361267089844,1.224836356,True
L8_no_film,8,4088188,15.595199584960938,23.569345474243164,1.239975172,True
L9_full,8,4090620,15.604476928710938,25.580883026123047,1.2447593,True
L10_transformer,8,4548604,17.351547241210938,91.13645553588867,1.301382404,True
