model,params,mb,gflops_per_window,forward_ms_batch4,ok
fpn,2237313,8.534671783447266,0.54788096,838.5035991668701,True
unet,12210881,46.580814361572266,2.793930752,43.61319541931152,True
linknet,2775361,10.587162017822266,0.4980736,27.68111228942871,True
multireslinknet,9218556,35.16600036621094,3.478046464,60.60004234313965,True
