experiment,model,fold,run_id,params,best_epoch,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms
A_apnea,fpn,0,A_apnea__fpn__f0,2237313,17,0.16270282534588615,0.037159183272413875,41.33615020717196,73.80085085812443,0.5491475545458803,0.7725016276074497,-1.2590372310450104,0.03722118457920201,0.05512978275561635,0.029064457670091286,0.01900675872660631,0.9709355423299086,45.3125,15.21389860389499,455.140928012447
A_apnea,fpn,1,A_apnea__fpn__f1,2237313,36,0.18769798833408202,0.04997480589314486,37.61208909998649,80.71928798897305,0.5857305320396597,0.7660279325831201,-0.8585034916374416,0.0860985697995574,0.12494499083726855,0.06620129389868254,0.04643058984653037,0.9337987061013175,53.125,8.090216865455902,342.04046730974795
A_apnea,fpn,2,A_apnea__fpn__f2,2237313,18,0.1356045035961279,0.029255706726282457,38.55146192308565,74.4941444888357,0.4556322788572452,0.7845491135761031,-0.19240567957060856,0.14095917821733867,0.2688544586301559,0.09684080130609718,0.08147164955932726,0.9031591986939029,53.90625,9.860017360977949,376.7106344168857
A_apnea,fpn,3,A_apnea__fpn__f3,2237313,34,0.139061812512799,0.030926086738590135,43.70415906825997,73.92327463849817,0.5424431490895116,0.7620354024987146,-0.41266837118011807,0.08188231472138609,0.10404281952247593,0.06780280236050171,0.043496572773612435,0.9321971976394983,37.109375,4.915244905199909,309.6282747725113
A_apnea,fpn,4,A_apnea__fpn__f4,2237313,19,0.14840323301697417,0.03824045879313261,37.8727555102389,75.21833032837564,0.489868755099113,0.8279395633688669,-3.2495894273908945,0.08673224507033178,0.13456231866628582,0.06698152565317769,0.04559821734587234,0.9330184743468223,33.59375,12.894760653516034,473.97788080630943
A_apnea,linknet,0,A_apnea__linknet__f0,2775361,22,0.1614429124195816,0.03687641833822349,35.600956155677416,62.79481881096334,0.5443772641270587,0.7945979201241165,-1.2781523572692193,0.1595706846379057,0.18968808164484127,0.1391092362360386,0.0906771182455123,0.8608907637639615,37.5,27.96061406230668,446.0297439086397
A_apnea,linknet,1,A_apnea__linknet__f1,2775361,38,0.18547009580403478,0.049706756062825416,34.36523918322458,68.74495692821019,0.5727177501062239,0.7798310075700603,-0.8511449384983767,0.2293235771559524,0.2618621637884378,0.2095846306862052,0.13146111127899465,0.7904153693137947,31.25,24.11523289243212,347.6405164642135
A_apnea,linknet,2,A_apnea__linknet__f2,2775361,28,0.12345934491211541,0.028136990342132052,35.601237542889805,70.81569663729535,0.4416468735927647,0.8637877382269714,-0.1708651828994663,0.17059820600392755,0.28037868316782555,0.12372520685969166,0.10248599852432116,0.8762747931403083,42.1875,8.323479427365521,454.808863522856
A_apnea,linknet,3,A_apnea__linknet__f3,2775361,29,0.1373831739378407,0.02979807663565176,44.237632084566194,75.45991132941482,0.5327108928686487,0.961529391989776,-0.34746996039509565,0.1975437191178241,0.180042977096318,0.22544998922203996,0.11199980722126732,0.7745500107779602,37.109375,26.027491855744724,343.9607759166281
A_apnea,linknet,4,A_apnea__linknet__f4,2775361,20,0.14532481284861984,0.036987888118063354,33.83015496268793,66.4157941770562,0.4890864764040189,0.851738627513201,-3.0107843804883236,0.2955065037851884,0.31481215883740654,0.2943889424609886,0.18022981169509456,0.7056110575390113,25.0,31.042179614259595,350.60898563711635
A_apnea,multireslinknet,0,A_apnea__multireslinknet__f0,9218556,13,0.15980796701346878,0.03515510258824109,38.824328357277935,72.02432073193438,0.5584955373043003,0.7327413310990752,-1.2290019209843162,0.3310659249365099,0.38037277647538487,0.312497885193251,0.2038768330266001,0.687502114806749,21.875,31.991626715873906,468.59743068720616
A_apnea,multireslinknet,1,A_apnea__multireslinknet__f1,9218556,36,0.19463956317765854,0.05286289339524752,36.99043443141977,77.98659478921633,0.5910404999116216,0.7302989623740775,-1.0760828159083429,0.5157502852404147,0.7745219626833784,0.3925865558887832,0.36752132792136505,0.6074134441112168,20.3125,8.858107389758224,349.0466578554523
A_apnea,multireslinknet,2,A_apnea__multireslinknet__f2,9218556,22,0.12286458032939018,0.026908989997385106,44.78038758911413,82.5216958179196,0.43262015281272603,0.8023253765285543,-0.110115706507558,0.26238741352424005,0.3715737396169941,0.2085718146116558,0.16132802112609307,0.7914281853883443,62.5,11.33369148297964,356.1244645545768
A_apnea,multireslinknet,3,A_apnea__multireslinknet__f3,9218556,21,0.14068236638688955,0.030436583600933174,49.02130073708338,76.22523570402076,0.5336475284902952,0.7050393292381077,-0.28802098482872235,0.25131217858589333,0.2541946992864424,0.25004536263951604,0.14494956021730093,0.7499546373604838,23.4375,22.94919381058879,278.9383974214319
A_apnea,multireslinknet,4,A_apnea__multireslinknet__f4,9218556,13,0.14585603352263984,0.03746431481747508,39.1489014483435,76.86100491215198,0.49079882094733673,0.8171985595519208,-3.162602985856489,0.4129782155401986,0.6683676723596078,0.3165045462328231,0.2803258256531343,0.6834954537671768,25.0,11.393520051427402,337.61049816451134
A_apnea,unet,0,A_apnea__unet__f0,12210881,3,0.16080800949712284,0.039754487991557404,0.5095734365438348,8.533989175207028,0.6029762409757098,0.9984763182134209,-1.5262409352650117,0.035306768393710705,0.1542036910457963,0.019953844443671896,0.018064745123208277,0.9800461555563281,22.4609375,,
