experiment,variant,fold,params,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms
A_apnea,L9_full,0,4090620,0.2896116712102888,0.13255030347345748,51.39286801167773,81.7883249324875,0.9128247687047075,1.002647252706815,-1.0930899027553913,0.5604150309137909,0.6840901988304866,0.4799955075893779,0.4119063993948647,0.5200044924106221,32.8125,8.237712433140354,326.49980525487507
A_apnea,L9_full,1,4090620,0.36157295648376736,0.18143036864702577,54.941257429346116,88.22871621409439,1.0321739619362758,1.0134295071521107,-1.1240685100182837,0.6968498968572062,0.7679965048922079,0.6387242033013922,0.5739579340508133,0.36127579669860777,28.125,9.570860188984472,257.83983612887687
A_apnea,L9_full,2,4090620,0.36792225961555514,0.21055241342119949,33.18050783501505,83.1630869920062,0.9602058166822193,0.9808368996020496,-1.125836708137534,0.5135861795438965,0.4875195889675356,0.5531243170675789,0.3761800482873635,0.4468756829324211,67.1875,26.9984540682406,221.30142386867016
A_apnea,L9_full,3,4090620,0.3221079814304955,0.16883268210045246,25.068582638089058,75.39094814383074,0.7483746824164054,0.7905381508412354,-0.9022432744389073,0.7583967801736005,0.7735315116532661,0.7504085489604728,0.6130805528010845,0.24959145103952707,25.390625,4.29129686947892,223.81509150975896
A_apnea,L9_full,4,4090620,0.3041219488233245,0.15271159368633258,60.773594926070146,84.20733998044999,0.9793977913799645,1.211548745186042,-3.3918879067513843,0.7571039676206054,0.8459155217145881,0.6940430992523379,0.6394297502305527,0.3059569007476621,15.625,2.9230690593094266,205.35216505227405
A_resting,L9_full,0,4090620,0.3769926132020409,0.20731122707551766,66.78862356433595,86.0605109714398,0.9147777641469412,1.0592466608265514,-1.3882006306118675,0.8671587372321875,0.8890548989022408,0.8632415131306895,0.7830720220277306,0.1367584868693105,13.020833333333334,8.528687069520778,161.639244686709
A_resting,L9_full,1,4090620,0.3435851273972134,0.16911081270106204,56.97363692968453,89.74535583686493,0.987087155600255,0.5425344442741641,-0.49839472196970774,0.8060427336839848,0.9343286854477152,0.7204660634005604,0.6985854786697215,0.27953393659943965,14.322916666666666,4.715700096686123,271.5412736662737
A_resting,L9_full,2,4090620,0.3625567928003844,0.20070727115955062,37.39420448393983,85.30867026661574,0.8124183387425182,0.6720539175117514,-0.5415771036190655,0.5220730831126258,0.7366513271428206,0.4312819627476235,0.39629440640213476,0.5687180372523764,29.947916666666668,7.1811942925675085,345.58822353985465
A_resting,L9_full,3,4090620,0.32716969794097656,0.16939205195361687,61.0005637371452,86.99084540290362,0.8695403791483614,1.0848187430471827,-0.8494071742233685,0.8471215360498375,0.9316696574161244,0.7818291644285548,0.7448813811975499,0.21817083557144537,13.020833333333334,2.7577352548721166,264.3404665954744
A_resting,L9_full,4,4090620,0.34994654546659504,0.19155086497251048,61.13290465143763,89.51741254465148,1.007757287883454,0.6892149045438851,-1.5920693452231782,0.9443559953720885,0.9902465374433037,0.905785676958649,0.8981165427185788,0.09421432304135086,15.625,1.5038768745927757,128.07824323184727
A_valsalva,L9_full,0,4090620,0.3330263781749827,0.1559660683007726,50.598597854520506,82.83404673302424,0.8570795087807476,0.6862599950166604,-0.8988370313569964,0.6428689651780909,0.7479392887852302,0.5878198009344674,0.5234468623437404,0.41218019906553266,23.4375,7.276467307285645,246.471644175969
A_valsalva,L9_full,1,4090620,0.3401150141629235,0.17166987246900337,46.953192300517216,86.31125724924263,1.0576014502955884,0.6187891629899533,-0.5792689237665595,0.7305078502849254,0.8510172705220258,0.6725736362331698,0.6432608140384113,0.32742636376683026,15.625,3.230736716899125,235.2471750202754
A_valsalva,L9_full,2,4090620,0.3481566890018467,0.1822627661141452,43.139230401134235,85.26293978512129,0.843282312205345,0.7741541691254014,-0.7346203083946484,0.6423418656942469,0.7796327811343184,0.5720671346706564,0.5275711667753228,0.42793286532934366,22.135416666666668,7.246655567440563,309.6760774994155
A_valsalva,L9_full,3,4090620,0.2569675660738607,0.1261365552511097,54.26400526941483,89.96540276867441,0.6928308456593332,0.6626681648958095,-0.23349673153332393,0.7763614535058678,0.9410276105640953,0.6744885491481419,0.652411582829125,0.32551145085185806,20.3125,3.4278417657814955,294.0031072835492
A_valsalva,L9_full,4,4090620,0.3238425156775144,0.1607843684885035,62.409074737287646,89.08474427104352,0.8842852465881965,0.7543903326116981,-1.4204055183966593,0.8445243613134604,0.9321184434701397,0.7833657433632505,0.746906085385982,0.21663425663674962,18.75,2.3084840514411895,156.38047338896737
B_rva,L10_transformer,0,4548604,0.3380632146135256,0.16718945952471248,46.7040092162645,83.25438705499259,0.9171347704064873,0.6720974348767085,-1.013716555959929,0.6094761521289884,0.7525403180596771,0.5326734536775282,0.476783077151857,0.4673265463224717,19.071691176470587,7.781098471151588,326.84186657914984
B_rva,L10_transformer,1,4548604,0.3607878367445498,0.18968046536388333,51.138698245832096,88.98063813371503,1.0781031037393844,0.615806130932147,-0.7633953078510084,0.8188306803966136,0.8753307205571974,0.7771431402170839,0.7206677489620503,0.2228568597829162,12.939453125,4.747452462820448,237.60218677033583
B_rva,L10_transformer,3,4548604,0.2938873220670187,0.1450639429283516,63.67608954988437,88.81590873164059,0.7872118740439136,0.9741854808672091,-0.580312815230086,0.9011652036487156,0.925717490255862,0.886347687448921,0.829170832675292,0.11365231255107895,13.541666666666666,2.49136810832971,152.0475436600914
B_rva,L10_transformer,4,4548604,0.3199434612586187,0.17449968608219343,43.45171514814504,87.6242595375639,0.9587469668902654,0.765324254841228,-1.729905994581225,0.8789156381331018,0.9144119775919541,0.8517041568994903,0.7988942035396311,0.14829584310050964,15.625,3.0964106129555895,164.75931426144143
B_rva,L2_loss_only,0,9218556,0.32712820699136846,0.14701826182837743,58.00330792640476,83.54217338898468,0.8650773023580249,0.5526831965062464,-0.7939487166767021,0.8021710274208329,0.846111159819409,0.7708345035471796,0.7045784687748611,0.22916549645282042,18.38235294117647,7.859377843734808,206.93163078810522
B_rva,L2_loss_only,1,9218556,0.3383387009170019,0.1698031994062785,38.68515394160815,88.2950902714,1.026643144703283,0.6385989714842766,-0.5396398572304764,0.7730180330715246,0.8019523007960921,0.7500245923567449,0.6622597353533539,0.24997540764325515,36.62109375,2.708201843836129,238.19743716376155
B_rva,L2_loss_only,2,9218556,0.313374347145717,0.1484174448126998,57.32669683017893,90.26831668336402,0.7715730958358998,0.6198161732014537,-0.4162856569698982,0.8194097852053915,0.8929928033859333,0.7783963657859795,0.7192850187792614,0.22160363421402052,32.169117647058826,6.006236104522761,196.99752431336626
B_rva,L2_loss_only,3,9218556,0.2463745902231263,0.11128270507392073,56.97108012046379,88.50797142924418,0.7296497902498268,0.8320521747317415,-0.31883322657282953,0.9186986526436034,0.917944844552758,0.9243585232478407,0.855560893671976,0.07564147675215929,27.604166666666668,1.9059248704913743,154.6383502547105
B_rva,L2_loss_only,4,9218556,0.3399188155855626,0.18196886642240037,53.11637418366991,88.56741263265195,0.985189335198603,0.823437072704488,-1.7349789209048716,0.9122070070925392,0.9108578853410462,0.9160320537114482,0.8447166760182383,0.08396794628855178,22.4609375,1.836427585029575,132.3722051660128
B_rva,L3_c1_only,0,9221692,0.3599145525935715,0.1769408635132521,52.26981190658568,81.64787166653839,0.9294311628936623,0.6296946726175189,-1.1486125280172623,0.7104437512302518,0.8705295155166405,0.614871075312684,0.5821513165969838,0.3851289246873161,17.003676470588236,6.871531939159102,267.8329350270134
B_rva,L3_c1_only,1,9221692,0.39209209420875885,0.21295899654466433,49.59449184769543,88.08467802318026,1.1774816377333506,0.6395592718940368,-1.0055501385134697,0.7251275780302624,0.9111452609460093,0.6161788731385744,0.5981010538527374,0.38382112686142544,12.20703125,4.523678495517302,286.185789568358
B_rva,L3_c1_only,2,9221692,0.3474853025475438,0.16717590411799102,71.26493559373382,89.50366868458737,0.788767090611431,0.5767789816684482,-0.4991266156081168,0.7780460731209802,0.9657709481636959,0.6824158130148907,0.6646325851356552,0.3175841869851094,17.46323529411765,9.994677467967119,269.97114021791344
B_rva,L3_c1_only,3,9221692,0.21221653237609367,0.09110679501836885,65.28983102748153,88.74060747715885,0.6503373434809049,0.638321210315852,-0.031501300708593825,0.7650265637032349,0.918037776462201,0.6755872792572595,0.6335732438404197,0.3244127207427404,14.583333333333334,6.479762680104172,302.4188168410355
B_rva,L3_c1_only,4,9221692,0.31302549088444004,0.16111417446851264,59.69406627700681,89.79210495677461,0.9043405767782412,0.7697956856286745,-1.5512585639887913,0.9127471248409543,0.9659126717516011,0.8679095852137733,0.8467114402901676,0.1320904147862268,13.671875,2.029656175866161,140.3025872076797
B_rva,L4_c1_c5,0,9221692,0.3342641497907347,0.1519089953894206,54.782319617172185,83.02865132211608,0.8769029874493587,0.6627907985643856,-0.8383668158414499,0.7851767299883157,0.8777103945217324,0.7266169718932844,0.6759389825956169,0.2733830281067156,14.705882352941176,2.943025882791511,226.30301007828493
B_rva,L4_c1_c5,1,9221692,0.35504419920965646,0.19463481309729014,35.70198297877507,85.33756007676611,1.0983382260820476,0.9310365252173489,-0.8079094095004387,0.657063525435051,0.7656528937841556,0.5848125325054734,0.5319927343539881,0.4151874674945266,20.99609375,10.533151500394556,333.8587298879828
B_rva,L4_c1_c5,2,9221692,0.3226003602707178,0.15688205062127003,69.19607679446896,90.89176730661633,0.7710725439470736,0.617999446266088,-0.4450557774585458,0.6414414798496204,0.8083025688240602,0.5638933592555045,0.5129448741514416,0.4361066407444955,22.977941176470587,8.237079011751199,314.06214086807705
B_rva,L4_c1_c5,3,9221692,0.22987903498884654,0.10126959738868765,60.27181786267009,89.54438881283916,0.6807266049719303,0.7727071254573317,-0.13954797667331909,0.7544816490773726,0.8482549516332466,0.6953951397704267,0.6375448341929003,0.30460486022957334,15.625,4.250528208867046,277.3357300857737
B_rva,L4_c1_c5,4,9221692,0.3003783272809789,0.1483639820356435,62.22980551586782,89.7592364834466,0.8833858872223166,0.9026881805346559,-1.39483359445673,0.8529172756517149,0.9169735592782404,0.806683857487466,0.7624960799044531,0.1933161425125341,18.5546875,3.0981611535628986,165.36917673220694
B_rva,L5_no_wavelet,0,3522488,0.3789187191467655,0.1849927889325168,57.663520057677246,85.90604640678741,0.9627270296164228,0.5728504693874628,-1.2414549468578489,0.8436591099198677,0.8891100218445893,0.8151465308310749,0.7608654596539645,0.18485346916892498,11.948529411764707,2.250143733848242,183.33990646521508
B_rva,L5_no_wavelet,1,3522488,0.38696246609363616,0.20190797377402975,52.55731124526911,89.72543458790902,1.1356335222524854,0.6446924922946872,-0.8734763653724856,0.8022976053039752,0.8915500984598472,0.7436056734236246,0.7024531642732882,0.2563943265763754,11.71875,4.0445801252079505,232.83576730898915
B_rva,L5_no_wavelet,3,3522488,0.2259799996771755,0.1020881232086358,64.46705209371112,90.54728602041618,0.6788502870832781,0.8265549043601402,-0.1633937222695412,0.8932495164503319,0.9242241535075095,0.8738593627570015,0.8176826047062722,0.12614063724299834,15.885416666666666,3.012839926066321,167.0237418854373
