,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,peak_F1,MAE_mean_hr_bpm,MAE_rmssd_ms,params,folds,dCC_t_vs_baseline
1. MultiResLinkNet + MSE  (baseline),0.16573448560144366,0.042689439216939754,44.61144258658137,73.701496813973,0.5344980777887727,0.7623040005426828,0.6208954643799882,14.282334179489677,263.9506285286406,9218556.0,5,0.0
2. + composite loss (C5),0.3130269321725553,0.15169809550873536,52.82052260046511,87.83619288112897,0.8756265336691275,0.6933175177256412,0.8451009010867784,4.06323364952293,185.82742953719125,9218556.0,5,8.21
3. + 8-channel input (C1),0.32494679452208153,0.1618593467325578,59.622627330500656,87.55378616164789,0.8900715622995179,0.650829964424906,0.7782782181851366,5.979861351722771,253.3422537724,9221692.0,5,15.01
4. + C1 + C5,0.3084332143081869,0.1506118877064624,56.436400553790826,87.71232080035686,0.8620852499345453,0.777444415207962,0.7382161320004149,5.812389151473442,263.38575753046507,9221692.0,5,11.82
"5. CardioMamba, no wavelet (-C2)",0.3212802565216174,0.158505098818566,59.29999491662194,89.26746664675862,0.9136324988416538,0.7259246988232044,0.8514064231600615,3.317358008103633,193.27179305834395,3522488.0,4,14.69
"6. CardioMamba, no SSM (-C3)",0.31331456253977263,0.15826414816973522,52.80170616855335,87.51270765777666,0.8994056404875075,0.7064909771977735,0.8511820597860615,3.310204527760166,174.81104653145832,3099388.0,4,8.19
"7. CardioMamba, single-task (-C4)",0.3152687455886615,0.1564717578225981,63.872307014197006,88.48930202842878,0.8270318963462326,0.8680811137950057,0.8301417322507025,3.7421270877428205,190.11800657448103,4080698.0,4,19.26
"8. CardioMamba, no FiLM refinement",0.3430959038183715,0.17616137078310987,61.9847270971793,89.1594777899813,0.9239870179447284,0.6904906545349256,0.84009037799684,3.1167087592432248,175.10800498423782,4088188.0,5,17.37
"9. CardioMamba-Net (full, C1-C5)",0.34797080944789016,0.18171776372973703,61.497883783239594,89.07459002929443,0.9200180507743415,0.7930779338571791,0.8090828143765035,4.136697361938839,199.36501222233946,4090620.0,3,16.89
10. Transformer bottleneck (control),0.3281704586709282,0.1691083884747852,51.242628040031505,87.16879836447802,0.9352991787700127,0.7568533253793231,0.8020969185768548,4.529082413814334,220.31272781775462,4548604.0,4,6.63
