comparator,n,p,median_delta,mean_delta,ci_low,ci_high,subjects_better,p_holm
L7_singletask,30,0.0021877754479646683,-2.2624968062259043,-4.883385995603799,-8.591698984159894,-1.8608262022353284,6,0.019689979031682014
L10_transformer,30,0.012047622352838516,5.01184845512957,5.949943929486623,1.3599414326336983,10.439490873622136,20,0.09638097882270813
multireslinknet,30,0.01453801617026329,3.206717460122544,12.628635083321116,3.694846503753792,22.274377963472517,20,0.10176611319184303
L8_no_film,30,0.022098854184150696,-3.6159258722128236,-4.8749642563154225,-8.949827770191924,-1.350971957424514,10,0.13259312510490417
L6_no_ssm,30,0.054921628907322884,5.338193016171537,6.061495034665303,0.536581298196717,11.609777718041006,20,0.2746081445366144
L2_loss_only,30,0.06056523136794567,3.8435921508963347,4.6098576090968475,-0.8931739846395211,9.622043444312641,20,0.2746081445366144
L3_c1_only,30,0.6120056137442589,0.3119898849611715,-2.3221033509838835,-6.506928160094136,1.2545613198029528,16,1.0
L4_c1_c5,30,0.6263462882488966,1.2721960331622881,1.5183586854723339,-4.091053645246467,7.193509472636001,16,1.0
L5_no_wavelet,30,0.7765688337385654,-0.5229802509765165,0.37432961249449853,-5.3208155418373435,5.895566310920341,14,1.0
