subject,L10_transformer,L2_loss_only,L3_c1_only,L4_c1_c5,L5_no_wavelet,L6_no_ssm,L7_singletask,L8_no_film,L9_full,fpn,linknet,multireslinknet,unet
GDN0001,65.26340769913323,70.06410106688212,72.12698418999385,77.3602373994273,79.3464411676322,56.830657680893765,76.55394426111773,77.39266470789994,72.82843723194176,68.1220940450402,68.03200946388414,71.31660319560204,65.15219481368278
GDN0002,73.78820558261675,52.36076501411909,74.62262460405647,67.71667988585072,77.49902723609067,74.21975498741263,77.86941340036452,78.34881348864239,76.86248200090812,41.89263456086285,45.39325244024173,4.957857667501097,0.7284135477965927
GDN0003,49.634223056979785,40.84058583705292,72.47230157318084,65.89180715209525,52.18801901718966,54.89333577810758,73.43723755516865,70.47509131843417,65.38964762949873,60.52265652234547,57.486838614299785,70.45665232597393,-0.1388456699322889
GDN0004,71.42395476175123,58.789191863308304,68.0995534200718,66.14906868690197,77.61451153301948,72.84512467902324,73.10717103022957,72.86767172860593,77.205096266249,58.74940478368901,61.96411928604621,71.78585975396602,67.29994171815774
GDN0005,27.764279136192734,19.679627049296897,31.428993125051942,6.413046074472253,21.09961188294281,31.281376854120253,36.11208371131086,28.195454735151362,32.006834541954106,6.244831414685014,13.378307359280527,15.784577591263853,17.926075783384203
GDN0007,50.63816854592444,70.55123325644813,69.50953532844139,70.89129398204302,48.19734914802157,46.78078901631396,74.40584257414793,70.60227423215785,73.84336406478155,70.64636305538083,59.300100038213,64.08557333194872,1.0660241088974454
GDN0008,42.1601934684453,43.043342465094014,44.34654890211762,49.337336434720065,46.94315105022221,51.53947793743775,47.6578709178967,51.867949861358746,38.83991930362142,52.450759124269176,36.66339625549121,49.15688742532677,36.2258204909317
GDN0009,63.00932615427894,46.63543105841253,64.59003304099788,54.68108258594837,69.25863680375556,68.49469535839441,67.24066533345399,63.093021644196156,66.4064105172901,42.46070585865515,41.93768994237118,6.092608043098214,0.6203454843456659
GDN0010,73.18583538537163,67.99951692249886,72.56434987333367,72.92971011242857,81.63663722100833,48.69470706276091,82.18774367615656,84.0249259895006,70.66191580267716,80.35973194338939,71.32941861614164,71.76487549870987,67.777909761693
GDN0011,73.79582595037913,68.83100392783149,74.87079137034324,71.24564309688532,76.82486010308939,76.82169438935956,75.12353890534824,73.68464745563641,72.84267448216573,66.7570362545829,67.39077630287888,16.263854030549673,0.41904350082498665
GDN0012,51.66571974057405,23.517497785201353,49.72438170926751,46.12823432442965,56.58953375605779,53.594227418071,58.07883783483815,51.199155501133006,50.19076527133932,34.21598125360167,29.816952112753263,35.11330053868877,30.81227517595289
GDN0013,28.781681125165562,43.23333675967296,57.92126372318142,56.159639158910515,23.33724944706205,30.79069497986771,57.85529433229414,52.99013070578491,49.468767060163124,51.0876585769109,50.32297490046974,45.82261213866805,-0.054855491872683515
GDN0014,58.80563281322142,61.95657295270949,58.999038454974155,64.66734742912057,54.16988512940905,61.21185603320382,57.88604911828158,54.733535223056066,61.24464078236925,50.546837259795936,60.224188314196866,3.727414896066953,1.184537659094537
