variant,metric,bias,loa_low,loa_high,n
multireslinknet,mean_hr_bpm,5.726449534724432,-36.16688141655149,47.61978048600035,30
multireslinknet,rmssd_ms,271.27653100574537,-4.1931253032266795,546.7461873147174,30
L9_full,mean_hr_bpm,-1.3919127703987069,-11.881568313699844,9.097742772902432,30
L9_full,rmssd_ms,198.73477927750218,-74.14636428012886,471.61592283513323,30
