variant,in_ch,params,mb,fwd_ms_batch2,gflops_per_window,ok
L2_loss_only,1,9218556,35.16600036621094,1102.8475761413574,3.478046464,True
L3_c1_only,8,9221692,35.17796325683594,31.815528869628906,3.484468992,True
L4_c1_c5,8,9221692,35.17796325683594,22.77374267578125,3.484468992,True
L5_no_wavelet,8,3522488,13.437225341796875,994.5535659790039,1.026409984,True
L6_no_ssm,8,3099388,11.823226928710938,53.774118423461914,1.137804548,True
L7_singletask,8,4080698,15.566627502441406,30.042171478271484,1.224836356,True
L8_no_film,8,4088188,15.595199584960938,37.40501403808594,1.239975172,True
L9_full,8,4090620,15.604476928710938,38.97547721862793,1.2447593,True
L10_transformer,8,4548604,17.351547241210938,80.8417797088623,1.301382404,True
