run_id,source_repo,experiment,variant,target_scale_recorded,comparison_scale,fold,params,best_epoch,gflops_per_window,forward_ms,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,R2,peak_F1,peak_precision,peak_recall,peak_accuracy,peak_missed_rate,peak_timing_err_ms_median,MAE_mean_hr_bpm,MAE_rmssd_ms,MAE_recorded,MSE_recorded
A_apnea__fpn__f0,baselines,A_apnea,fpn,"[0,1]","[0,1]",0,2237313,17,0.54788096,854.9022674560547,0.16270282534588615,0.037159183272413875,41.33615020717196,73.80085085812443,0.5491475545458803,0.7725016276074497,-1.2590372310450104,0.03722118457920201,0.05512978275561635,0.029064457670091286,0.01900675872660631,0.9709355423299086,45.3125,15.21389860389499,455.140928012447,0.16270282534588615,0.037159183272413875
A_apnea__fpn__f1,baselines,A_apnea,fpn,"[0,1]","[0,1]",1,2237313,36,0.54788096,854.9022674560547,0.18769798833408202,0.04997480589314486,37.61208909998649,80.71928798897305,0.5857305320396597,0.7660279325831201,-0.8585034916374416,0.0860985697995574,0.12494499083726855,0.06620129389868254,0.04643058984653037,0.9337987061013175,53.125,8.090216865455902,342.04046730974795,0.18769798833408202,0.04997480589314486
A_apnea__fpn__f2,baselines,A_apnea,fpn,"[0,1]","[0,1]",2,2237313,18,0.54788096,854.9022674560547,0.1356045035961279,0.029255706726282457,38.55146192308565,74.4941444888357,0.4556322788572452,0.7845491135761031,-0.19240567957060856,0.14095917821733867,0.2688544586301559,0.09684080130609718,0.08147164955932726,0.9031591986939029,53.90625,9.860017360977949,376.7106344168857,0.1356045035961279,0.029255706726282457
A_apnea__fpn__f3,baselines,A_apnea,fpn,"[0,1]","[0,1]",3,2237313,34,0.54788096,854.9022674560547,0.139061812512799,0.030926086738590135,43.70415906825997,73.92327463849817,0.5424431490895116,0.7620354024987146,-0.41266837118011807,0.08188231472138609,0.10404281952247593,0.06780280236050171,0.043496572773612435,0.9321971976394983,37.109375,4.915244905199909,309.6282747725113,0.139061812512799,0.030926086738590135
A_apnea__fpn__f4,baselines,A_apnea,fpn,"[0,1]","[0,1]",4,2237313,19,0.54788096,854.9022674560547,0.14840323301697417,0.03824045879313261,37.8727555102389,75.21833032837564,0.489868755099113,0.8279395633688669,-3.2495894273908945,0.08673224507033178,0.13456231866628582,0.06698152565317769,0.04559821734587234,0.9330184743468223,33.59375,12.894760653516034,473.97788080630943,0.14840323301697417,0.03824045879313261
A_apnea__linknet__f0,baselines,A_apnea,linknet,"[0,1]","[0,1]",0,2775361,22,0.4980736,30.09510040283203,0.1614429124195816,0.03687641833822349,35.600956155677416,62.79481881096334,0.5443772641270587,0.7945979201241165,-1.2781523572692193,0.1595706846379057,0.18968808164484127,0.1391092362360386,0.0906771182455123,0.8608907637639615,37.5,27.96061406230668,446.0297439086397,0.1614429124195816,0.03687641833822349
A_apnea__linknet__f1,baselines,A_apnea,linknet,"[0,1]","[0,1]",1,2775361,38,0.4980736,30.09510040283203,0.18547009580403478,0.049706756062825416,34.36523918322458,68.74495692821019,0.5727177501062239,0.7798310075700603,-0.8511449384983767,0.2293235771559524,0.2618621637884378,0.2095846306862052,0.13146111127899465,0.7904153693137947,31.25,24.11523289243212,347.6405164642135,0.18547009580403478,0.049706756062825416
A_apnea__linknet__f2,baselines,A_apnea,linknet,"[0,1]","[0,1]",2,2775361,28,0.4980736,30.09510040283203,0.12345934491211541,0.028136990342132052,35.601237542889805,70.81569663729535,0.4416468735927647,0.8637877382269714,-0.1708651828994663,0.17059820600392755,0.28037868316782555,0.12372520685969166,0.10248599852432116,0.8762747931403083,42.1875,8.323479427365521,454.808863522856,0.12345934491211541,0.028136990342132052
A_apnea__linknet__f3,baselines,A_apnea,linknet,"[0,1]","[0,1]",3,2775361,29,0.4980736,30.09510040283203,0.1373831739378407,0.02979807663565176,44.237632084566194,75.45991132941482,0.5327108928686487,0.961529391989776,-0.34746996039509565,0.1975437191178241,0.180042977096318,0.22544998922203996,0.11199980722126732,0.7745500107779602,37.109375,26.027491855744724,343.9607759166281,0.1373831739378407,0.02979807663565176
A_apnea__linknet__f4,baselines,A_apnea,linknet,"[0,1]","[0,1]",4,2775361,20,0.4980736,30.09510040283203,0.14532481284861984,0.036987888118063354,33.83015496268793,66.4157941770562,0.4890864764040189,0.851738627513201,-3.0107843804883236,0.2955065037851884,0.31481215883740654,0.2943889424609886,0.18022981169509456,0.7056110575390113,25.0,31.042179614259595,350.60898563711635,0.14532481284861984,0.036987888118063354
