,MAE,MSE,CC_temporal,CC_spectral,RRMSE_temporal,RRMSE_spectral,peak_F1,MAE_mean_hr_bpm,MAE_rmssd_ms,params,folds,dCC_t_vs_baseline
1. MultiResLinkNet + MSE  (baseline),0.16573448560144366,0.042689439216939754,44.61144258658137,73.701496813973,0.5344980777887727,0.7623040005426828,0.6208954643799882,14.282334179489677,263.9506285286406,9218556.0,5,0.0
2. + composite loss (C5),0.3383387009170019,0.1698031994062785,38.68515394160815,88.2950902714,1.026643144703283,0.6385989714842766,0.7730180330715246,2.708201843836129,238.19743716376155,9218556.0,1,-5.93
3. + 8-channel input (C1),0.33647002173900575,0.16902751899088236,55.98193909179625,85.7199883116565,0.9168858698359518,0.6997451791230966,0.8115954380356031,4.450594057512632,204.06776111734655,9221692.0,2,11.37
4. + C1 + C5,0.22987903498884654,0.10126959738868765,60.27181786267009,89.54438881283916,0.6807266049719303,0.7727071254573317,0.7544816490773726,4.250528208867046,277.3357300857737,9221692.0,1,15.66
"6. CardioMamba, no SSM (-C3)",0.3984083190976504,0.21258383688418248,54.862917537072,90.02122403604359,1.131102610884774,0.5448307974597113,0.8453310275796201,3.4036628828574855,186.4892435619378,3099388.0,1,10.25
"9. CardioMamba-Net (full, C1-C5)",0.28728895979949226,0.14008243889324565,64.98605138199171,87.98766449736524,0.7681176432560356,1.1011572242601038,0.9222705261958593,2.047754073854361,133.492483981744,4090620.0,1,20.37
